Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14.9364,7.34838,29.362,29.362,0.0,0.0,,188.109,738.531,141.636,58.45,54.55,15.7322,233.356,36.9581,0.487672,7.26987,2.60992,0.949417,11.1648,1.76825,6.31408,0.752701,0.315974,0.0500428,0.26593127846717834,,0.203997,0.282794,0.767355,2.44665,1159.2,6.165957446808511,1066.0,5.670212765957447,6.80694,6.39166,14.9482,6.909999847412109,6,AL,Tarik Skubal,669373,22267,22267
BOS,Red Sox,13.1388,8.47259,29.213,29.213,0.0,0.0,,183.03,738.588,151.794,71.47,66.5,21.0147,217.71,42.1604,0.529711,6.22546,3.26996,1.05969,10.7053,2.07312,5.16385,1.03334,0.294765,0.0570824,0.2376825474202633,,0.219927,0.28967,0.744433,3.04187,992.7,5.424590163934426,934.0,5.103825136612022,5.14858,4.47315,14.6182,12.100000381469727,3,AL,Garrett Crochet,676979,27463,27463
SEA,Mariners,13.2054,8.43939,29.289,29.289,0.0,0.0,,183.483,735.852,151.2,73.89,69.32,24.4158,189.415,37.0591,0.489073,7.46589,3.40021,1.02603,9.29096,1.81778,5.11115,1.19762,0.257409,0.0503622,0.20704641565680504,,0.21871,0.265519,0.742286,3.52837,912.4,4.9857923497267755,849.0,4.639344262295082,4.33829,4.13224,14.7409,34.900001525878906,11,AL,Bryan Woo,693433,30279,30279
NYY,Yankees,13.5825,7.72125,28.697,28.697,0.0,0.0,,180.199,742.059,151.869,69.92,65.07,14.6364,173.752,55.6133,0.472282,9.41602,3.24991,1.15141,8.67801,2.7776,3.12429,0.731012,0.234149,0.0749446,0.15920395404100418,,0.224316,0.280845,0.735661,3.34522,905.3,5.029444444444445,858.0,4.766666666666667,4.24511,4.37896,14.4151,50.09000015258789,9,AL,Max Fried,608331,13743,13743
TOR,Blue Jays,12.2699,8.26693,29.086,29.086,0.0,0.0,,168.955,693.675,130.309,67.64,63.26,18.5217,200.036,62.5392,0.580306,4.41417,3.36977,1.14142,10.6556,3.33138,3.19856,0.986626,0.288371,0.0901563,0.1982143446803093,,0.207922,0.273878,0.750119,3.38118,877.9000000000001,5.194674556213018,797.0,4.715976331360947,4.15346,3.84737,12.3585,74.2699966430664,14,AL,Dylan Cease,656302,18525,18525
KCR,Royals,10.7825,8.04284,26.451,26.451,0.0,0.0,,155.757,636.094,118.257,62.97,59.01,19.7729,197.53,51.083,0.508591,7.11113,3.40973,1.08721,11.4137,2.95169,3.86685,1.14253,0.310536,0.0803073,0.23022900521755219,,0.204633,0.273115,0.750894,3.36992,823.6000000000001,5.27948717948718,742.0,4.756410256410256,3.95917,3.5278,11.6229,47.779998779296875,7,AL,Cole Ragans,666142,21846,21846
SEA,Mariners,11.6696,8.55205,28.422,28.422,0.0,0.0,,167.796,676.407,136.165,71.36,66.75,24.9933,204.699,39.7236,0.523125,6.24211,3.58024,1.04823,10.9793,2.13064,5.15308,1.34055,0.302627,0.0587273,0.24389934167265892,,0.215984,0.27741,0.741874,3.45345,854.1,5.083928571428571,787.0,4.684523809523809,3.88955,3.44847,12.6753,37.11000061035156,11,AL,Logan Gilbert,669302,22250,22250
DET,Tigers,12.8581,8.65192,28.534,28.534,0.0,0.0,,185.144,764.955,159.559,74.54,68.91,14.2962,169.316,59.445,0.506307,9.95083,3.34977,1.18289,8.2306,2.88967,2.84829,0.694949,0.221342,0.0777105,0.14363116025924683,,0.229397,0.283747,0.725989,3.43439,911.8,4.9286486486486485,874.0,4.724324324324324,3.8118,4.15688,15.4172,81.8499984741211,6,AL,Framber Valdez,664285,17295,17295
SEA,Mariners,11.3144,8.65037,28.071,28.071,0.0,0.0,,165.969,679.729,150.52,73.09,68.42,19.9362,161.524,35.2625,0.445615,7.10597,3.71021,1.11938,8.75894,1.91218,4.5806,1.08108,0.237629,0.0518774,0.18575208261609077,,0.236162,0.286432,0.713824,3.51611,787.8000000000001,4.7457831325301205,768.0,4.626506024096385,3.80296,3.09605,12.6455,64.55999755859375,11,AL,George Kirby,669923,25436,25436
TEX,Rangers,10.8444,8.00883,26.091,26.091,0.0,0.0,,157.865,633.263,124.792,64.37,60.69,20.0731,175.694,40.7319,0.45072,2.58859,3.45998,1.04852,10.0165,2.32215,4.31343,1.14438,0.277443,0.0643207,0.21312234550714493,,0.211533,0.265666,0.736084,3.38549,818.2,5.178481012658228,750.0,4.746835443037975,3.7915,3.55244,12.2159,49.970001220703125,13,AL,Jacob deGrom,594798,10954,10954
HOU,Astros,11.786,9.4453,29.335,29.335,0.0,0.0,,178.999,746.323,154.511,79.25,74.38,19.7764,189.44,61.7611,0.550453,6.89429,3.7398,1.20823,9.52497,3.10533,3.0673,0.994349,0.253831,0.0827539,0.17107727378606796,,0.228005,0.287618,0.72658,3.60541,846.6000000000001,4.729608938547487,806.0,4.5027932960893855,3.71259,3.30918,14.1828,36.400001525878906,21,AL,Hunter Brown,686613,25880,25880
BOS,Red Sox,11.0935,9.00921,28.131,28.131,0.0,0.0,,167.845,693.269,150.407,74.66,69.38,20.1191,171.127,46.052,0.420522,4.87996,3.72022,1.17048,9.17597,2.46935,3.71595,1.0788,0.24684,0.0664273,0.180413156747818,,0.234156,0.288828,0.723734,3.56464,796.2,4.739285714285715,769.0,4.5773809523809526,3.5622,3.01264,12.9385,137.82000732421875,3,AL,Sonny Gray,543243,12768,12768
MIN,Twins,9.9093,10.0849,27.988,27.988,0.0,0.0,,168.145,696.275,150.386,82.58,77.16,26.9769,186.287,40.8246,0.440928,7.43053,4.13001,1.13718,9.97106,2.18515,4.56311,1.44395,0.267548,0.0586329,0.20891515910625458,,0.23207,0.283858,0.707954,3.866,749.0999999999999,4.4589285714285705,717.0,4.267857142857143,3.51779,2.16974,13.3365,78.80999755859375,8,AL,Joe Ryan,657746,21390,21390
BOS,Red Sox,10.8043,8.73139,27.027,27.027,0.0,0.0,,164.76,688.239,155.88,74.68,69.38,16.9036,144.499,44.6838,0.606017,7.35176,3.78988,1.21731,7.89325,2.44085,3.23381,0.923359,0.209955,0.0649248,0.14503004401922226,,0.245015,0.292704,0.711614,3.6623,738.3000000000001,4.474545454545455,736.0,4.460606060606061,3.2414,2.81544,13.0718,183.5800018310547,3,AL,Ranger Suarez,624133,17277,17277
TEX,Rangers,10.0798,9.34881,28.055,28.055,0.0,0.0,,158.235,663.47,135.447,72.86,68.04,19.062,176.797,56.6188,0.458931,6.6771,3.86994,1.2138,10.0558,3.22033,3.12259,1.0842,0.266474,0.0853374,0.1811363250017166,,0.225679,0.287857,0.720804,3.66662,746.5,4.724683544303797,705.0,4.462025316455696,3.14997,2.56905,11.4405,165.22999572753906,13,AL,MacKenzie Gore,669022,22201,22201
TOR,Blue Jays,11.45,9.53637,28.977,28.977,0.0,0.0,,178.417,745.143,162.789,88.05,82.47,25.0656,174.096,54.5445,0.616679,3.04787,4.16009,1.21812,8.78202,2.75142,3.19181,1.2644,0.233641,0.0732,0.16044075042009354,,0.236766,0.281994,0.709407,3.97832,759.9000000000001,4.269101123595506,739.0,4.151685393258427,3.06332,2.29277,14.5663,113.30000305175781,14,AL,Kevin Gausman,592332,14107,14107
TEX,Rangers,9.98499,8.13761,24.938,24.938,0.0,0.0,,153.48,630.931,132.888,68.91,64.63,19.671,150.676,41.3127,0.500006,7.52753,3.78987,1.135,8.83556,2.42256,3.6472,1.1535,0.238815,0.065479,0.17333605885505676,,0.228294,0.274968,0.717916,3.7925,695.4000000000001,4.545098039215687,660.0,4.313725490196078,2.72863,2.66918,12.3095,133.5399932861328,13,AL,Nathan Eovaldi,543135,9132,9132
DET,Tigers,9.68778,9.7871,28.083,28.083,0.0,0.0,,159.068,666.703,141.418,77.16,72.11,23.6589,172.86,50.2522,0.49406,6.39113,4.07995,1.20496,9.78033,2.84325,3.43984,1.33861,0.259275,0.0753742,0.18390125781297684,,0.23181,0.284758,0.722244,3.96356,692.8000000000001,4.3572327044025165,661.0,4.1572327044025155,2.702,2.21419,11.7043,210.27000427246094,6,AL,Jack Flaherty,656427,17479,17479
KCR,Royals,8.61668,8.88122,23.882,29.26,0.0,0.663,,137.905,576.516,124.151,62.86,58.59,16.1518,134.432,41.4005,1.1654,6.63055,3.82372,1.20048,8.77331,2.70189,3.2471,1.0541,0.233179,0.0718116,0.1613674983382225,,0.234919,0.285787,0.71843,3.75298,630.0000000000001,4.565217391304349,610.0,4.420289855072464,2.64886,2.26726,6.60685,191.69000244140625,7,AL,Kris Bubic,663460,21455,21455
CLE,Guardians,9.553,11.015,28.673,28.673,0.0,0.0,,174.513,742.258,168.64,90.41,84.35,23.7413,154.703,55.1735,0.528505,7.97634,4.35011,1.2825,7.97837,2.84541,2.80394,1.22439,0.208423,0.0743319,0.1340906023979187,,0.248326,0.289413,0.700002,4.21632,681.4,3.8937142857142857,684.0,3.9085714285714284,2.61982,1.89859,14.1939,187.92999267578125,5,AL,Tanner Bibee,676440,30134,30134
